uid,title,aired from,aired to,episodes,members,popularity,ranked,score
28891,Haikyuu!! Second Season,2015-10-04,2016-03-27,25.0,489888,141,25.0,8.82
23273,Shigatsu wa Kimi no Uso,2014-10-10,2015-03-20,22.0,995473,28,24.0,8.83
34599,Made in Abyss,2017-07-07,2017-09-29,13.0,581663,98,23.0,8.83
5114,Fullmetal Alchemist: Brotherhood,2009-04-05,2010-07-04,64.0,1615084,4,1.0,9.23
31758,Kizumonogatari III: Reiketsu-hen,2017-01-06,,1.0,214621,502,22.0,8.83
37510,Mob Psycho 100 II,2019-01-07,2019-04-01,13.0,442310,176,21.0,8.89
199,Sen to Chihiro no Kamikakushi,2001-07-20,,1.0,913212,40,20.0,8.9
38000,Kimetsu no Yaiba,2019-04-06,2019-09-28,26.0,575037,106,19.0,8.92
35247,Owarimonogatari 2nd Season,2017-08-12,2017-08-13,7.0,189944,573,18.0,8.93
2904,Code Geass: Hangyaku no Lelouch R2,2008-04-06,2008-09-28,25.0,992196,27,17.0,8.93
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,2016-10-08,2016-12-10,10.0,395375,223,16.0,8.94
34096,Gintama.,2017-01-09,2017-03-27,12.0,139309,800,15.0,8.94
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,2013-07-06,,1.0,135232,833,14.0,8.95
918,Gintama,2006-04-04,2010-03-25,201.0,579150,97,13.0,8.97
4181,Clannad: After Story,2008-10-03,2009-03-27,24.0,740101,64,12.0,8.97
15417,Gintama': Enchousen,2012-10-04,2013-03-28,13.0,166446,667,11.0,8.98
30276,One Punch Man,2015-10-05,2015-12-21,12.0,1475219,5,50.0,8.68
16664,Kaguya-hime no Monogatari,2013-11-23,,1.0,99563,1106,250.0,8.28
4672,Koukaku Kidoutai 2.0,2008-07-12,,1.0,72331,1457,500.0,8.06
8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,2010-04-07,,1.0,33038,2428,750.0,7.88
7588,Saraiya Goyou,2010-04-16,2010-07-02,12.0,61146,1650,800.0,7.86
1253,Saint Seiya: Meiou Hades Meikai-hen,2005-12-17,2007-02-06,12.0,33453,2409,799.0,7.86
20767,Noragami OVA,2014-02-17,2014-07-17,2.0,200244,539,798.0,7.86
1425,Lupin III: Part II,1977-10-03,1980-10-06,155.0,19405,3237,796.0,7.86
35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",2017-09-20,,1.0,87716,1238,794.0,7.86
22673,Kuroko no Basket 2nd Season NG-shuu,2014-01-29,2014-09-24,9.0,38046,2263,795.0,7.86
6862,K-On!: Live House!,2010-01-19,,1.0,102122,1082,793.0,7.86
5680,K-On!,2009-04-03,2009-06-26,13.0,610222,90,792.0,7.86
451,InuYasha Movie 3: Tenka Hadou no Ken,2003-12-20,,1.0,68407,1527,791.0,7.86
9563,Hidamari Sketch x ☆☆☆ Specials,2010-10-23,2010-10-30,2.0,11600,4073,790.0,7.86
30364,Haikyuu!! Movie 2: Shousha to Haisha,2015-09-18,,1.0,27734,2698,789.0,7.86
33280,Gochuumon wa Usagi Desu ka??: Dear My Sister,2017-11-11,,1.0,20779,3141,788.0,7.86
36369,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,2019-09-27,,4.0,11817,4041,787.0,7.86
27633,Gekkan Shoujo Nozaki-kun Specials,2014-09-24,2015-02-25,6.0,87789,1233,786.0,7.86
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",2016-01-09,2016-03-26,12.0,328860,297,785.0,7.86
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",2019-01-09,2019-03-27,12.0,89612,1216,784.0,7.86
552,Digimon Adventure,1999-03-07,2000-03-26,54.0,274830,356,783.0,7.86
1689,Byousoku 5 Centimeter,2007-03-03,,3.0,554071,108,781.0,7.86
8609,Detective Conan OVA 10: Kid in Trap Island,2010-04-14,,1.0,12337,3969,782.0,7.86
34944,Bungou Stray Dogs: Dead Apple,2018-03-03,,1.0,73839,1448,780.0,7.86
36214,Asagao to Kase-san.,2018-06-09,,1.0,33444,2426,779.0,7.86
32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,2016-03-11,2016-05-20,8.0,33163,2435,778.0,7.86
36160,Yaoguai Mingdan 2nd Season,2017-08-02,2017-12-29,21.0,5238,5659,777.0,7.87
